"No.","Time","Source","Destination","Protocol","Length","Info"
"37461","143.950362359","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=563, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"37466","143.974047808","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=564, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"37481","144.008770668","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=566, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"37491","144.028790860","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=567, FN=0, Flags=........, SSID=NUST"
"37493","144.051535417","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=568, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"37497","144.069778999","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=569, FN=0, Flags=........, SSID=NUST"
"37515","144.099783983","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=570, FN=0, Flags=........, SSID=NUST"
"37517","144.113755718","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=571, FN=0, Flags=........, SSID=NUST"
"37534","144.131764170","MurataMa_3d:6e:69","Broadcast","802.11","277","Probe Request, SN=572, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"37611","144.395297801","SamsungE_de:81:7b","Broadcast","802.11","273","Probe Request, SN=2, FN=0, Flags=........, SSID=Broadcast"
"37630","144.434436636","SamsungE_de:81:7b","Broadcast","802.11","273","Probe Request, SN=3, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"37709","144.606142861","IntelCor_d3:cd:7c","Broadcast","802.11","218","Probe Request, SN=503, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"37723","144.630720589","IntelCor_d3:cd:7c","Broadcast","802.11","218","Probe Request, SN=504, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"38455","152.533320734","SamsungE_de:81:7b","Broadcast","802.11","273","Probe Request, SN=41, FN=0, Flags=........, SSID=Broadcast"
"39118","159.907154473","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=249, FN=0, Flags=........, SSID=NUST"
"40837","179.468601511","SamsungE_de:81:7b","Broadcast","802.11","273","Probe Request, SN=111, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"40847","179.510712235","SamsungE_de:81:7b","Broadcast","802.11","273","Probe Request, SN=112, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"41126","182.089298896","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=4037, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"41127","182.090402752","SamsungE_00:ff:a9","Broadcast","802.11","262","Probe Request, SN=4038, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"41387","182.949371780","SamsungE_52:a4:a1","Broadcast","802.11","239","Probe Request, SN=2246, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"41393","182.981254242","SamsungE_52:a4:a1","Broadcast","802.11","239","Probe Request, SN=2247, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"41410","183.021163427","SamsungE_52:a4:a1","Broadcast","802.11","239","Probe Request, SN=2248, FN=0, Flags=........, SSID=Broadcast"
"41497","184.277504348","HuaweiTe_0d:ab:54","Broadcast","802.11","395","Probe Request, SN=1244, FN=0, Flags=........, SSID=device"
